Maximo;Cidade;Data
17.7;Braga;2022-01-16
17.3;Braga;2022-01-13
19.7;Braga;2022-01-11
17.1;Cabeceiras de Basto;2022-01-10
15.531;Vila Nova de Famalicão;2022-01-15
17.822;Vila Verde;2022-01-18
18.347;Vila Verde;2022-01-17
15.259;Vila Verde;2022-01-14
18.477;Vila Verde;2022-01-12
14.544;Vila Verde;2022-01-09
