date,minimum,maximum,range,mean,std
2021-10-22,20.7496948242,21.3938865662,0.644191741943,21.0730547257,0.162179966855
2021-10-23,20.8765888214,22.2827224731,1.40613365173,21.7218398812,0.371330359697
2021-10-25,20.0724124908,20.9909820557,0.918569564819,20.6413601298,0.240338981657
2021-10-26,22.6993923187,23.9883766174,1.28898429871,23.5206234779,0.347570372856
2021-10-27,23.0140190125,24.0894393921,1.07542037964,23.6969207246,0.283113151633
2021-10-28,20.0289382935,20.8893413544,0.860403060913,20.5469529423,0.222534280071
2021-10-29,18.8370819092,20.193145752,1.35606384277,19.7932258889,0.373404319071
2021-10-30,18.0954456329,19.3983612061,1.30291557312,19.0468584696,0.367610991364
2021-10-31,18.8396625519,20.194070816,1.35440826416,19.7962566423,0.377983927459
2021-11-01,16.6426296234,18.4925403595,1.84991073608,17.897351889,0.519953997218
2021-11-02,14.7508707047,16.2984962463,1.54762554169,15.8691985872,0.436914809756
2021-11-03,13.000243187,14.7475776672,1.74733448029,13.8635149709,0.467654230193
2021-11-04,13.8777360916,15.6934700012,1.81573390961,14.7295398712,0.487461575565
2021-11-05,15.2978534698,16.9929714203,1.69511795044,16.4377627314,0.460819154155
2021-11-06,16.1669540405,17.4909591675,1.32400512695,17.0094053716,0.377296565391
2021-11-07,18.1189861298,19.1852550507,1.0662689209,18.7288772913,0.289481205348
2021-11-08,20.4157772064,21.0882453918,0.672468185425,20.8002030643,0.171792620125
2021-11-09,22.0885372162,22.8901367188,0.801599502563,22.5537836051,0.219241814958
2021-11-10,20.1337032318,20.995010376,0.861307144165,20.7201097512,0.236970667756
2021-11-11,18.7327346802,19.2926692963,0.559934616089,19.0805406924,0.145416298707
2021-11-12,19.0240764618,19.397649765,0.373573303223,19.2762198036,0.0918615455281
2021-11-13,21.0143146515,22.0821247101,1.06781005859,21.571482576,0.292199226969
2021-11-14,20.6077518463,21.9795436859,1.3717918396,21.3738767836,0.375480014188
2021-11-15,17.2897357941,19.1079425812,1.81820678711,18.2470220165,0.499919311069
2021-11-16,16.9815273285,18.3928432465,1.41131591797,17.9239625813,0.396453161681
2021-11-17,17.3488197327,18.4955730438,1.14675331116,18.1246631528,0.322561439973
2021-11-18,16.3324432373,17.9672470093,1.63480377197,17.5610481545,0.441925574034
2021-11-19,17.9886302948,19.8959674835,1.90733718872,19.3782668408,0.528074576397
2021-11-20,18.6601715088,20.1024017334,1.44223022461,19.7350723125,0.39006319101
2021-11-21,18.5010871887,19.2936191559,0.792531967163,19.020595056,0.21109563103
2021-11-22,11.6188344955,13.8910093307,2.27217483521,13.1717889692,0.637131091016
2021-11-23,14.4031944275,16.2938842773,1.89068984985,15.7268141287,0.527646770954
2021-11-24,12.1344203949,14.0910043716,1.95658397675,13.4316110258,0.536476760083
2021-11-25,14.092754364,15.3924856186,1.29973125458,14.9476253721,0.365246736489
2021-11-26,12.187912941,13.8929576874,1.7050447464,13.348598021,0.479274394007
2021-11-27,11.1493492126,12.8931818008,1.7438325882,12.3247187461,0.492200864427
2021-11-28,9.64493179321,11.0958614349,1.45092964172,10.7353537995,0.388242709382
2021-11-29,13.5130786896,15.09116745,1.57808876038,14.5700334266,0.436057521661
2021-11-30,15.3459396362,15.8980140686,0.552074432373,15.7476113049,0.151232613156
2021-12-01,11.0296878815,12.4989290237,1.46924114227,12.1201237337,0.405473060798
2021-12-02,12.1006650925,13.6954917908,1.5948266983,13.2121442277,0.452332610825
2021-12-03,10.5329551697,11.40625,0.873294830322,11.1951492686,0.24347818431
2021-12-04,15.2107362747,16.292011261,1.08127498627,15.925249971,0.28973162228
2021-12-05,12.3088712692,14.1961336136,1.88726234436,13.6376795121,0.534505022707
2021-12-06,11.129573822,12.0001773834,0.870603561401,11.7855317975,0.23887606069
2021-12-07,14.0627155304,15.5962963104,1.53358078003,15.1740574307,0.414248045346
2021-12-08,9.9844121933,11.8991556168,1.91474342346,11.3724292002,0.539999902901
2021-12-09,12.3074769974,13.897644043,1.59016704559,13.4641300484,0.445148933789
2021-12-10,15.0711755753,16.4912853241,1.42010974884,16.0231837167,0.394129057363
2021-12-11,13.8828115463,15.1312379837,1.24842643738,14.8279164043,0.337821970412
2021-12-12,17.7151107788,19.0818481445,1.36673736572,18.510320946,0.377308415982
2021-12-13,16.4488582611,19.78373909,3.33488082886,18.7682544096,0.91047167377
2021-12-15,19.2969322205,19.8842201233,0.587287902832,19.5565735381,0.153978575866
2021-12-16,18.6650447845,18.9936523438,0.328607559204,18.8319855443,0.0860096413053
2021-12-17,16.0644702911,17.4469261169,1.38245582581,16.780008787,0.392977112472
2021-12-18,15.6733837128,17.6815986633,2.00821495056,16.9235301312,0.558090049271
2021-12-19,15.1633262634,16.896232605,1.73290634155,16.4256752509,0.48149835127
2021-12-20,13.3534269333,15.6936597824,2.34023284912,15.0432393816,0.643447627688
2021-12-21,18.2610416412,20.5931987762,2.33215713501,19.926334805,0.64713392237
2021-12-22,16.5661315918,17.8977203369,1.33158874512,17.5172233346,0.37731329278
2021-12-23,14.9177684784,17.1898269653,2.27205848694,16.5128595329,0.623489651877
2021-12-24,13.5790710449,15.0929374695,1.51386642456,14.6108810637,0.424237573884
2021-12-25,14.6755599976,16.3938655853,1.71830558777,15.87025507,0.47937654364
2021-12-26,15.3416461945,16.4974803925,1.155834198,16.2056653058,0.322738464122
2021-12-27,15.2074375153,16.5984764099,1.39103889465,16.2088676617,0.389511237738
2021-12-28,16.8052635193,18.4935722351,1.68830871582,17.9688160272,0.470046622792
2021-12-29,15.089720726,16.7986125946,1.70889186859,16.0876078665,0.468615024302
2021-12-30,18.7752494812,19.4848270416,0.709577560425,19.1786347142,0.182877481484
2021-12-31,21.0594520569,21.9959201813,0.93646812439,21.7018763931,0.257310575531
2022-01-01,22.296251297,23.3951244354,1.09887313843,23.0878367247,0.277397443728
2022-01-02,17.8136291504,17.9985561371,0.184926986694,17.9412299969,0.0470720682503
2022-01-03,14.7023277283,15.3723163605,0.669988632202,14.880313214,0.166103059543
2022-01-04,14.8840236664,15.29804039,0.414016723633,15.1824634576,0.104794762608
2022-01-05,12.4639606476,14.5902795792,2.12631893158,13.9254946297,0.589825315277
2022-01-06,10.1028728485,10.5481891632,0.445316314697,10.4041138049,0.108669657356
2022-01-07,12.9941749573,14.4943351746,1.50016021729,14.0323983769,0.416620002164
2022-01-08,10.4048652649,11.5953645706,1.19049930573,11.1924455078,0.333811063758
2022-01-09,13.1252918243,14.1989603043,1.07366847992,13.9166417887,0.303431092685
2022-01-10,14.8460531235,15.0338087082,0.187755584717,14.997520541,0.0398538603481
2022-01-11,17.6445732117,19.6794109344,2.03483772278,18.8764289338,0.557336655173
2022-01-12,15.3573722839,17.0415248871,1.68415260315,16.6230214437,0.462295341538
2022-01-13,15.5479955673,17.2880706787,1.74007511139,16.6874445927,0.486327112512
2022-01-14,13.2285385132,14.4996452332,1.27110671997,14.1739748849,0.365617508841
2022-01-15,13.7125720978,14.8958997726,1.18332767487,14.4910368861,0.324386862951
2022-01-16,15.1343755722,17.6880702972,2.55369472504,16.8930709156,0.699469338886
2022-01-17,16.6548843384,18.090965271,1.43608093262,17.6173619164,0.402057118301
2022-01-18,16.2195796967,16.9981136322,0.778533935547,16.7808830826,0.225098609323

