date,minimum,maximum,range,mean,std
2021-10-06,26.824092865,28.2999515533,1.47585868835,28.0312886556,0.314238191382
2021-10-07,28.2254562378,29.4999580383,1.27450180054,29.2687447548,0.272288943931
2021-10-08,28.6436424255,29.9999523163,1.35630989075,29.7448409001,0.291622904108
2021-10-09,28.0170822144,29.2999572754,1.28287506104,29.0640759786,0.271723185056
2021-10-10,24.4235801697,25.3999729156,0.976392745972,25.239952898,0.20096406049
2021-10-11,25.3753948212,26.1999797821,0.824584960938,26.0721034606,0.169242752841
2021-10-12,27.316034317,28.7999534607,1.48391914368,28.5353102287,0.31557294751
2021-10-13,25.8116588593,26.6999759674,0.888317108154,26.5537330389,0.183643726831
2021-10-14,24.884929657,25.6999778748,0.815048217773,25.5643582821,0.169856841379
2021-10-15,25.0879383087,26.2999610901,1.21202278137,26.0804562092,0.256063235675
2021-10-16,19.8847007751,20.8999652863,1.01526451111,20.7080249548,0.22182338234
2021-10-17,19.9087352753,20.3999824524,0.491247177124,20.3107931455,0.0974902113717
2021-10-18,25.1392021179,26.5999526978,1.46075057983,26.3325858434,0.31237530968
2021-10-19,27.4806346893,28.8999557495,1.41932106018,28.6549554666,0.294236350795
2021-10-20,21.1165161133,22.3999595642,1.28344345093,22.1755740404,0.269053132888
2021-10-21,18.8751773834,20.0999622345,1.22478485107,19.894267416,0.253172692435
2021-10-22,21.7584247589,22.999961853,1.24153709412,22.7885587374,0.25834564342
2021-10-23,21.7578849792,23.4999427795,1.74205780029,23.1809019407,0.373489072813
2021-10-25,20.5961093903,21.5999698639,1.00386047363,21.4283849557,0.209539841182
2021-10-26,23.151714325,24.6999511719,1.54823684692,24.4269733349,0.326844463526
2021-10-27,23.8604507446,25.3999519348,1.53950119019,25.12603453,0.324708506017
2021-10-28,20.5102844238,21.3999767303,0.889692306519,21.2614455859,0.179872271094
2021-10-29,18.1777896881,19.0999717712,0.92218208313,18.9419029474,0.193762500991
2021-10-30,18.7841835022,20.3999462128,1.61576271057,20.1029865344,0.346370155831
2021-10-31,18.7815246582,19.699968338,0.91844367981,19.5316114823,0.192510011787
2021-11-01,16.3776397705,17.6999568939,1.32231712341,17.4646590789,0.276737115213
2021-11-02,14.7340106964,15.999956131,1.26594543457,15.7645178358,0.269292326573
2021-11-03,13.611084938,15.0999555588,1.48887062073,14.8456276377,0.308571958195
2021-11-04,14.7423753738,16.5999450684,1.85756969452,16.2873163422,0.38225845577
2021-11-05,16.2165145874,18.2999305725,2.08341598511,17.922202603,0.441381424415
2021-11-06,15.6268348694,16.3999767303,0.773141860962,16.2678743084,0.160753948373
2021-11-07,17.9235744476,18.7999744415,0.876399993896,18.6575788498,0.17955229316
2021-11-08,21.5208187103,22.6999568939,1.17913818359,22.4667033752,0.262704053768
2021-11-09,21.3803062439,21.9999847412,0.619678497314,21.9142308235,0.12332225289
2021-11-10,20.3756370544,21.5999603271,1.22432327271,21.3776202599,0.265275074692
2021-11-11,19.604888916,20.5999641418,0.99507522583,20.4060947895,0.22024567362
2021-11-12,20.2459030151,21.499956131,1.25405311584,21.2632706245,0.273873286871
2021-11-13,20.96301651,21.7999744415,0.836957931519,21.6600588242,0.172149213309
2021-11-14,20.2571582794,21.2999687195,1.04281044006,21.1276424805,0.217063726051
2021-11-15,16.5131454468,17.4999771118,0.986831665039,17.3513328075,0.199223198109
2021-11-16,16.2643470764,17.1999721527,0.935625076294,17.0414170265,0.195268813947
2021-11-17,17.0620517731,17.9999694824,0.937917709351,17.8340337674,0.196252991687
2021-11-18,15.3248605728,16.4999656677,1.17510509491,16.3028692722,0.241931564444
2021-11-19,16.7778244019,17.7999687195,1.02214431763,17.623863403,0.211500484625
2021-11-20,17.8230342865,18.9999675751,1.17693328857,18.8093556484,0.244203871048
2021-11-21,18.8078422546,19.8999652863,1.09212303162,19.7071025769,0.232622768477
2021-11-22,11.485452652,13.2999448776,1.81449222565,12.9871983131,0.38111275253
2021-11-23,13.2142744064,14.2999668121,1.0856924057,14.1151829799,0.230582047936
2021-11-24,12.3914432526,14.2999401093,1.90849685669,13.9654182037,0.398923651897
2021-11-25,13.3334693909,13.8999872208,0.566517829895,13.817993172,0.114961392247
2021-11-26,12.0531291962,13.4999570847,1.44682788849,13.2538603822,0.302493750951
