date,minimum,maximum,range,mean,std
2021-10-22,21.6870956421,22.8327331543,1.14563751221,22.2257346062,0.286789595292
2021-10-23,21.7959880829,23.2285690308,1.43258094788,22.3541547349,0.360832172369
2021-10-25,20.6841983795,21.4640750885,0.779876708984,21.0202999289,0.183862231473
2021-10-26,23.4176959991,24.4782981873,1.06060218811,23.8496477571,0.244026998931
2021-10-27,23.8169517517,25.168838501,1.35188674927,24.4103344782,0.313280491858
2021-10-28,20.635931015,21.2972698212,0.661338806152,20.9489509461,0.14934272194
2021-10-29,18.2944297791,19.1210231781,0.826593399048,18.7716533365,0.148336215038
2021-10-30,18.9061775208,20.1373252869,1.23114776611,19.4981092079,0.259401579095
2021-10-31,18.3835735321,19.5462188721,1.16264533997,19.0684635476,0.237821207974
2021-11-01,16.6032791138,17.5041255951,0.900846481323,17.091503274,0.172728817828
2021-11-02,15.0970859528,15.7997503281,0.702664375305,15.377041464,0.149629194735
2021-11-03,13.8323249817,14.8996667862,1.0673418045,14.3770472818,0.215177189645
2021-11-04,14.9623775482,16.3498477936,1.38747024536,15.6224908219,0.294119230352
2021-11-05,16.3643245697,17.9636707306,1.59934616089,16.962073435,0.39043258609
2021-11-06,15.7426204681,16.5504550934,0.807834625244,16.1496380279,0.139709685965
2021-11-07,17.9204826355,18.6964969635,0.776014328003,18.3830796333,0.161639086662
2021-11-08,21.0080394745,22.487154007,1.47911453247,21.6543829234,0.381172981495
2021-11-09,21.5207080841,22.2899837494,0.769275665283,21.9003700187,0.131784504225
2021-11-10,20.6305866241,21.4198894501,0.789302825928,20.935810603,0.179106415237
2021-11-11,19.3708610535,20.4267673492,1.05590629578,19.8482576135,0.248258584065
2021-11-12,19.6342964172,21.2889328003,1.65463638306,20.4222490668,0.411843759347
2021-11-13,20.9800319672,21.6972637177,0.717231750488,21.4030996784,0.152927594409
2021-11-14,20.5877609253,21.2256355286,0.637874603271,20.9483643101,0.1209382441
2021-11-15,16.4809684753,17.4003219604,0.919353485107,17.1223573902,0.164476532033
2021-11-16,16.3643760681,17.3301200867,0.965744018555,16.8826003663,0.170713183402
