date,minimum,maximum,range,mean,std
2021-10-06,26.3780460358,26.7999954224,0.421949386597,26.7191288015,0.0863477632897
2021-10-07,28.3606147766,28.6999950409,0.339380264282,28.6163091457,0.0758646220826
2021-10-08,27.2787132263,27.799993515,0.521280288696,27.6978297538,0.105874091872
2021-10-09,24.5857887268,25.5999889374,1.01420021057,25.4289159978,0.211979505642
2021-10-10,27.0871639252,27.5999965668,0.512832641602,27.5159423605,0.0884962355083
2021-10-11,27.9856262207,28.4999980927,0.514371871948,28.432121703,0.0769261772303
2021-10-12,28.2651863098,28.5999965668,0.334810256958,28.5335338166,0.062094598632
2021-10-13,27.4590740204,27.7999992371,0.340925216675,27.7547354191,0.0506085887638
2021-10-14,25.4436912537,25.6999969482,0.25630569458,25.6336386559,0.0611004013075
2021-10-15,23.9992446899,24.2999973297,0.300752639771,24.2442972204,0.0605367865215
2021-10-16,19.9011154175,20.0999965668,0.198881149292,20.0577574689,0.0392918213481
2021-10-17,20.7898273468,21.0999984741,0.310171127319,21.0454115259,0.055726661503
2021-10-18,24.6971549988,24.9999961853,0.302841186523,24.9353555111,0.0651730044086
2021-10-19,26.6762714386,27.1600131989,0.483741760254,26.978109096,0.0995312405981
2021-10-20,22.1137504578,22.4999961853,0.386245727539,22.4266202501,0.0728241505515
2021-10-21,19.2770576477,19.4999980927,0.222940444946,19.4716269108,0.0348026586068
2021-10-22,21.0605831146,21.5362987518,0.475715637207,21.354463699,0.0996588836739
2021-10-23,21.9704017639,22.299993515,0.329591751099,22.2059419409,0.0822519357305
2021-10-25,20.8120155334,20.9999961853,0.187980651855,20.946905755,0.0474139759622
2021-10-26,23.7257862091,23.9999961853,0.274209976196,23.9314290006,0.0618353506577
2021-10-27,23.8394527435,24.0999965668,0.260543823242,24.0358250699,0.0590596550075
2021-10-28,20.653547287,20.8999958038,0.246448516846,20.8392997397,0.05605138909
2021-10-29,19.7830085754,20.1999969482,0.416988372803,20.112557675,0.0871727133742
2021-10-30,19.2509269714,19.44739151,0.196464538574,19.389177089,0.0304977743298
2021-10-31,19.809217453,20.1999969482,0.390779495239,20.1112426595,0.0893908157538
2021-11-01,18.0757446289,18.4999980927,0.424253463745,18.4259169964,0.0761370916178
2021-11-02,16.0187721252,16.2999992371,0.281227111816,16.2694682162,0.0458039908327
2021-11-03,13.9372444153,14.8008985519,0.863654136658,14.5723665166,0.172002293892
2021-11-04,14.9254798889,15.9227199554,0.997240066528,15.6412543337,0.206849998402
2021-11-05,16.7800521851,16.9999980927,0.219945907593,16.9625900147,0.0421447684409
2021-11-06,17.1308727264,17.4999961853,0.369123458862,17.4160386755,0.0795131655443
2021-11-07,18.7697486877,19.1999950409,0.430246353149,19.0947308033,0.0987290248924
2021-11-08,20.7484588623,21.0999946594,0.351535797119,21.0276300552,0.0718324838766
2021-11-09,22.6194190979,22.8999958038,0.280576705933,22.8275258592,0.0678241937671
2021-11-10,20.8445701599,20.9999980927,0.155427932739,20.9611430574,0.0348572766676
2021-11-11,19.0553417206,19.2999973297,0.244655609131,19.2538803588,0.0472050618155
2021-11-12,19.1124019623,19.4708061218,0.358404159546,19.366413573,0.0600153167378
2021-11-13,21.6426486969,22.0999927521,0.457344055176,21.988663369,0.103148785854
2021-11-14,21.4622554779,21.9999923706,0.5377368927,21.8639666273,0.124543462199
2021-11-15,17.6775112152,19.1593647003,1.48185348511,18.5165906866,0.274363509513
2021-11-16,18.0281391144,18.3999977112,0.371858596802,18.3269293968,0.0722457514773
2021-11-17,18.2418518066,18.4999980927,0.258146286011,18.4566704365,0.0459340378437
2021-11-18,17.5436553955,17.9016838074,0.358028411865,17.8559319922,0.0573221215221
2021-11-19,19.3773880005,19.8999977112,0.522609710693,19.8153967452,0.0923420024624
2021-11-20,19.8043136597,20.0177249908,0.213411331177,19.9899953883,0.0290296116101
2021-11-21,19.0598754883,19.2999973297,0.240121841431,19.2484563767,0.0507073560774
2021-11-22,13.4844007492,13.8999967575,0.415596008301,13.8423746596,0.0693136300747
2021-11-23,15.845123291,16.2999973297,0.454874038696,16.2316182218,0.0754709429652
2021-11-24,13.7408447266,14.0999965668,0.35915184021,14.037233865,0.0653918612506
2021-11-25,15.0024862289,15.3999967575,0.397510528564,15.3212606146,0.077349455362
2021-11-26,13.5999803543,13.8999977112,0.300017356873,13.8584258151,0.0510576574904
2021-11-27,12.5023317337,12.8999977112,0.397665977478,12.8375228821,0.0686382539098
2021-11-28,10.7269277573,11.1492443085,0.422316551208,11.0014807569,0.0557766839308
2021-11-29,14.7829589844,15.0999965668,0.317037582397,15.0252731658,0.0699198384519
2021-11-30,15.7291727066,15.8999986649,0.170825958252,15.8660195635,0.0368632201667
2021-12-01,12.0365943909,12.5005130768,0.463918685913,12.4423901578,0.0703751007336
2021-12-02,13.3443412781,13.6999979019,0.35565662384,13.6587493065,0.0508753057765
2021-12-03,11.216012001,11.5446434021,0.328631401062,11.4027199339,0.0453003646898
2021-12-04,16.0661697388,16.2999973297,0.233827590942,16.2395103637,0.0562089579269
2021-12-05,13.8909263611,14.2080640793,0.317137718201,14.1683397547,0.0528481758486
2021-12-06,11.8016700745,12.1497936249,0.348123550415,12.0073618787,0.0443040283567
2021-12-07,15.2153244019,15.5999984741,0.384674072266,15.5340664793,0.0706752970624
2021-12-08,11.5263576508,11.9622964859,0.435938835144,11.8800108281,0.0558603556457
2021-12-09,13.5554351807,13.8999996185,0.344564437866,13.8636672345,0.0490135449509
2021-12-10,16.1532115936,16.4999961853,0.346784591675,16.4215591918,0.075715453672
2021-12-11,14.8026895523,15.1002368927,0.297547340393,15.0655856995,0.0435213747865
2021-12-12,18.577129364,19.0999927521,0.522863388062,18.9777653268,0.113040676463
2021-12-13,18.7437667847,19.799993515,1.05622673035,19.6383233375,0.170170351255
2021-12-15,19.5752983093,19.8999938965,0.324695587158,19.8185916657,0.0724852641696
2021-12-16,18.8588600159,18.9999980927,0.141138076782,18.9699317039,0.0293565181002
2021-12-17,16.6400051117,17.3701572418,0.730152130127,17.0056440475,0.139638057052
2021-12-18,17.0520992279,17.6999931335,0.64789390564,17.5654301542,0.127397228368
2021-12-19,16.4022445679,16.8999977112,0.497753143311,16.8241043902,0.0825786992924
2021-12-20,14.9857158661,15.6999979019,0.714282035828,15.6025924632,0.110599350002
2021-12-21,19.9533462524,20.5999965668,0.646650314331,20.5252340195,0.0921477681505
2021-12-22,17.5321331024,17.8999996185,0.367866516113,17.8687540014,0.0491992833573
2021-12-23,16.5070056915,17.1999950409,0.692989349365,17.0845717166,0.118650725575
2021-12-24,14.6696357727,15.0999975204,0.430361747742,15.0402802609,0.0649166980275
2021-12-25,15.9761829376,16.3999977112,0.42381477356,16.3529187365,0.0608523297836
