Maximo;Cidade;Data
2.367;Vizela;2022-01-02
3.809;Vila Verde;2022-01-01
0.2;Braga;2021-12-31
0.2;Braga;2021-12-30
4.518;Vila Nova de Famalicão;2021-12-29
5.5;Braga;2021-12-28
11.6;Cabeceiras de Basto;2021-12-27
37.063;Vizela;2021-12-26
6.648;Vila Nova de Famalicão;2021-12-25
26.753;Terras de Bouro;2021-12-24
