Maximo;Cidade;Data
11.467;vila-nova-de-famalicao.csv;2021-12-25
12.4;braga.csv;2021-12-24
13.847;vila-verde.csv;2021-12-23
13.291;esposende.csv;2021-12-22
12.68;esposende.csv;2021-12-21
12.173;esposende.csv;2021-12-20
6.674;vila-nova-de-famalicao.csv;2021-12-19
6.047;vila-nova-de-famalicao.csv;2021-12-18
6.86;vila-nova-de-famalicao.csv;2021-12-17
9.747;vieira-do-minho.csv;2021-12-16
