"precipitaProb","tMin","tMax","predWindDir","longitude","forecastDate","latitude","descClassPrecIntPT","descIdWeatherTypePT","descClassWindSpeedDailyPT"
4,3.8,13.5,"N",-8.4227,"2022-01-07",41.5475,,"Céu pouco nublado","Fraco"
12,2.2,12.9,"E",-8.4227,"2022-01-06",41.5475,,"Céu parcialmente nublado","Fraco"
27,0.6,12,"NE",-8.4227,"2022-01-08",41.5475,,"Céu nublado por nuvens altas","Fraco"
100,6.7,13.7,"NW",-8.4227,"2022-01-04",41.5475,"Moderado","Aguaceiros","Moderado"
98,4.1,11.8,"SE",-8.4227,"2022-01-05",41.5475,"Moderado","Chuva","Fraco"
