date,minimum,maximum,range,mean,std
2021-09-29,0.0,0.0027779317461,0.0027779317461,0.00089825500115,0.00103065285267
2021-09-30,0.000218687113374,0.00400735810399,0.00378867099062,0.00162400669519,0.000975350125232
2021-10-01,0.000222371774726,0.00227844831534,0.00205607654061,0.00122212408155,0.000595577596493
2021-10-02,8.05373001099,9.65225696564,1.59852695465,8.42406283292,0.383835777125
2021-10-03,14.2065229416,21.7848377228,7.57831478119,16.0148209398,1.69064141098
2021-10-04,0.799916505814,2.25306391716,1.45314741135,1.14344278764,0.341197662857
2021-10-05,6.24395227432,6.56081962585,0.316867351532,6.35339334445,0.05476367315
2021-10-06,0.00249181222171,0.0674339979887,0.064942185767,0.0191713659156,0.0144133323002
2021-10-07,0.0,0.0,0.0,0.0,0.0
2021-10-08,0.0,0.0,0.0,0.0,0.0
2021-10-09,0.00092923163902,0.0085523808375,0.00762314919848,0.00446414810669,0.00184746033647
2021-10-10,0.0,0.00557517912239,0.00557517912239,0.00191135824452,0.00125051102835
2021-10-11,0.0,0.0,0.0,0.0,0.0
2021-10-12,0.0,0.0,0.0,0.0,0.0
2021-10-13,0.0,0.0,0.0,0.0,0.0
2021-10-14,0.0,0.0,0.0,0.0,0.0
2021-10-15,0.0,0.0,0.0,0.0,0.0
2021-10-16,0.416362255812,0.939635932446,0.523273676634,0.586242534085,0.121684351714
2021-10-17,3.35941767693,4.47186326981,1.11244559288,3.96348536773,0.219900337
2021-10-18,0.174117043614,0.230922833085,0.0568057894707,0.200649028949,0.0108392530696
2021-10-19,0.00916162878275,0.0872270166874,0.0780653879046,0.0483789654406,0.0203737016423
2021-10-20,4.5367898941,6.72718000412,2.19039011002,5.18384240757,0.567522416582
2021-10-21,0.00690783699974,0.104278787971,0.0973709509708,0.0476258919511,0.0273317263128
2021-10-22,0.00102840259206,0.0130988229066,0.0120704203146,0.005302212327,0.00316873222908
2021-10-23,0.0,0.0,0.0,0.0,0.0
2021-10-25,0.00107395672239,0.0275759994984,0.026502042776,0.0102413246657,0.00717290189587
2021-10-26,0.0,0.00556141743436,0.00556141743436,0.00154374914074,0.00188195324609
2021-10-27,0.000428737548646,0.0113240936771,0.0108953561285,0.00461105676077,0.00294249276837
2021-10-28,11.0497608185,15.8563404083,4.80657958984,12.0679320899,1.1435630257
2021-10-29,27.6201248169,40.469493866,12.8493690491,36.4380555933,3.19394910599
2021-10-30,5.09387302399,7.03455448151,1.94068145752,6.12576769915,0.539942116928
2021-10-31,36.2991676331,38.3014411926,2.00227355957,37.9425275976,0.39580649164
2021-11-01,0.405295491219,0.591603517532,0.186308026314,0.480259043114,0.0480264649076
2021-11-02,5.15995359421,8.79536056519,3.63540697098,6.40302138112,0.925730076393
2021-11-03,0.0562796071172,1.02714383602,0.970864228904,0.423653254929,0.254176245819
2021-11-04,0.0105648487806,0.124199278653,0.113634429872,0.0630413884636,0.0291337447784
2021-11-05,0.000740324729122,0.0169539675117,0.0162136427825,0.00712613814659,0.00411381793063
2021-11-06,0.0,0.0,0.0,0.0,0.0
2021-11-07,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.0,0.0,0.0,0.0,0.0
2021-11-09,0.0,0.0,0.0,0.0,0.0
2021-11-10,0.00203194003552,0.0670638754964,0.0650319354609,0.017493006677,0.014310907032
2021-11-11,0.000430930871516,0.0105485860258,0.0101176551543,0.00387722539652,0.00269329951023
2021-11-12,0.00357445352711,0.130221769214,0.126647315687,0.0331199598858,0.0276828039937
2021-11-13,0.00246283924207,0.0654275417328,0.0629647024907,0.0175802037014,0.0137393511297
2021-11-14,0.00217991415411,0.0664202943444,0.0642403801903,0.0177398210106,0.0141029652901
2021-11-15,0.000446327932877,0.00550793111324,0.00506160318037,0.00214459353513,0.00118375908638
2021-11-16,0.0,0.0,0.0,0.0,0.0
2021-11-17,0.0,0.0,0.0,0.0,0.0
2021-11-18,0.0,0.0,0.0,0.0,0.0
2021-11-19,0.0,0.0,0.0,0.0,0.0
2021-11-21,0.0,0.0,0.0,0.0,0.0
2021-11-22,0.0134083610028,0.193722739816,0.180314378813,0.0885226887905,0.0455015540191
2021-11-23,0.00300773046911,0.0191789604723,0.0161712300032,0.00876435453855,0.00259794923217
2021-11-24,0.00523648643866,0.0749750137329,0.0697385272942,0.0329655723858,0.0174135197161
2021-11-25,0.530696094036,0.784914016724,0.254217922688,0.706758245013,0.0520909098147
2021-11-26,0.10402135551,0.31511554122,0.21109418571,0.18195216483,0.0558838749673
2021-11-27,0.274345755577,1.29671597481,1.02237021923,0.740183085203,0.274368747841
2021-11-28,1.09846436977,2.98830485344,1.88984048367,1.7247861277,0.436560097011
2021-11-29,0.413930147886,0.869787037373,0.455856889486,0.577734835717,0.126927807563
2021-11-30,0.00643285596743,0.202496990561,0.196064134594,0.0551619550488,0.0433360344434
2021-12-01,1.82609176636,2.661714077,0.835622310638,2.13485019424,0.23337167317
2021-12-02,0.528894543648,2.23429989815,1.7054053545,1.36456459246,0.494669368742
2021-12-03,1.55608785152,3.28136062622,1.7252727747,2.18289567503,0.322797389473
2021-12-04,12.4259881973,17.1724281311,4.74643993378,15.2656900623,1.11283907018
2021-12-05,0.0152589315549,0.25400993228,0.238751000725,0.108880613063,0.0611127605523
2021-12-06,3.2041990757,5.73538446426,2.53118538857,4.17897559513,0.553480735239
2021-12-07,22.8563098907,25.1423416138,2.28603172302,23.5133205934,0.52061368175
2021-12-08,5.16240930557,6.90762710571,1.74521780014,5.91560958732,0.481829490536
