Maximo;Cidade;Data
6.648;vila-nova-de-famalicao.csv;2021-12-25
26.753;terras-de-bouro.csv;2021-12-24
18.063;terras-de-bouro.csv;2021-12-23
3.353;terras-de-bouro.csv;2021-12-22
10.4;braga.csv;2021-12-21
28.2;braga.csv;2021-12-20
0.003;celorico-de-basto.csv;2021-12-19
0.013;vila-verde.csv;2021-12-18
0.1;braga.csv;2021-12-17
